,page,product,link
484,25,"Last sold on
      17/02/20259/97 Queen Street, North Dunedin21$425,000(last sale price)",https://www.realestate.co.nz/property/9-97-queen-street-north-dunedin-dunedin-city-otago/fmdsrbly
485,25,"Last sold on
      15/02/202517 Wavy Knowes Drive, Waldronville531.08ha$1,600,000(last sale price)",https://www.realestate.co.nz/property/17-wavy-knowes-drive-waldronville-dunedin-city-otago/xcr057ds
486,25,"Last sold on
      14/02/202551 Frame Street, North East Valley21529m2$550,000(last sale price)",https://www.realestate.co.nz/property/51-frame-street-north-east-valley-dunedin-city-otago/nsl3968q
487,25,"Last sold on
      14/02/202581 Norfolk Street, Saint Clair21577m2$800,000(last sale price)",https://www.realestate.co.nz/property/81-norfolk-street-saint-clair-dunedin-city-otago/03h65g0r
488,25,"Last sold on
      14/02/202525 Hugh Street, Sawyers Bay21698m2$554,000(last sale price)",https://www.realestate.co.nz/property/25-hugh-street-sawyers-bay-dunedin-city-otago/l1k6xr5q
489,25,"Last sold on
      14/02/202593 Cockerell Street, Brockville21703m2$537,500(last sale price)",https://www.realestate.co.nz/property/93-cockerell-street-brockville-dunedin-city-otago/xp21mtjr
490,25,"Last sold on
      14/02/202576 Elm Row, Dunedin Central21597m2$630,000(last sale price)",https://www.realestate.co.nz/property/76-elm-row-dunedin-central-dunedin-city-otago/c36qnzpr
491,25,"Last sold on
      14/02/202529 Granville Terrace, Belleknowes53607m2$1,300,000(last sale price)",https://www.realestate.co.nz/property/29-granville-terrace-belleknowes-dunedin-city-otago/cfp4snkr
492,25,"Last sold on
      14/02/20258 Roy Crescent, Concord312054m2$635,000(last sale price)",https://www.realestate.co.nz/property/8-roy-crescent-concord-dunedin-city-otago/np3x4r8r
493,25,"Last sold on
      14/02/202579 Beach Street, Waikouaiti311012m2$380,000(last sale price)",https://www.realestate.co.nz/property/79-beach-street-waikouaiti-dunedin-city-otago/9pddp83q
494,25,"Last sold on
      14/02/202531 Meridian Street, Port Chalmers21553m2$478,000(last sale price)",https://www.realestate.co.nz/property/31-meridian-street-port-chalmers-dunedin-city-otago/c5yrkc5q
495,25,"Last sold on
      14/02/202534A Dundonald Street, Tainui21520m2$467,000(last sale price)",https://www.realestate.co.nz/property/34a-dundonald-street-tainui-dunedin-city-otago/pf856bxr
496,25,"Last sold on
      13/02/202514 Ballantyne Street, Waverley211152m2$600,000(last sale price)",https://www.realestate.co.nz/property/14-ballantyne-street-waverley-dunedin-city-otago/mnh4ktsr
497,25,"Last sold on
      13/02/202522 Newport Street, Belleknowes31536m2$675,000(last sale price)",https://www.realestate.co.nz/property/22-newport-street-belleknowes-dunedin-city-otago/05762vkr
498,25,"Last sold on
      13/02/202568 Kenmure Road, Belleknowes31582m2$600,000(last sale price)",https://www.realestate.co.nz/property/68-kenmure-road-belleknowes-dunedin-city-otago/69tr2skr
499,25,"Last sold on
      13/02/202517 Whitby Street, Mornington31847m2$680,000(last sale price)",https://www.realestate.co.nz/property/17-whitby-street-mornington-dunedin-city-otago/wsplhdlr
500,26,"Last sold on
      13/02/20254 Souter Street, Mosgiel31613m2$570,000(last sale price)",https://www.realestate.co.nz/property/4-souter-street-mosgiel-dunedin-city-otago/smzt50js
501,26,"Last sold on
      13/02/202538A Kenmure Road, Belleknowes421220m2$980,000(last sale price)",https://www.realestate.co.nz/property/38a-kenmure-road-belleknowes-dunedin-city-otago/ss2nkrkr
502,26,"Last sold on
      13/02/20253/21 Irvine Street, Mosgiel111m2$380,000(last sale price)",https://www.realestate.co.nz/property/3-21-irvine-street-mosgiel-dunedin-city-otago/ksKlZG8Xk
503,26,"Last sold on
      13/02/202510 Kintyre Place, Mosgiel42995m2$1,050,000(last sale price)",https://www.realestate.co.nz/property/10-kintyre-place-mosgiel-dunedin-city-otago/vmlr3nms
504,26,"Last sold on
      13/02/202549 Walton Park Avenue, Fairfield41886m2$717,000(last sale price)",https://www.realestate.co.nz/property/49-walton-park-avenue-fairfield-dunedin-city-otago/fjxllwds
505,26,"Last sold on
      13/02/202577 Ravelston Street, Musselburgh31267m2$450,000(last sale price)",https://www.realestate.co.nz/property/77-ravelston-street-musselburgh-dunedin-city-otago/k7s8mxwr
506,26,"Last sold on
      12/02/202540 Irwin Logan Drive, Mosgiel431000m2$1,900,000(last sale price)",https://www.realestate.co.nz/property/40-irwin-logan-drive-mosgiel-dunedin-city-otago/b46l98hmk
507,26,"Last sold on
      12/02/2025116 Prince Albert Road, Saint Kilda31465m2$540,000(last sale price)",https://www.realestate.co.nz/property/116-prince-albert-road-saint-kilda-dunedin-city-otago/9nn7d64r
508,26,"Last sold on
      12/02/202538A Tomahawk Road, Andersons Bay42881m2$1,018,000(last sale price)",https://www.realestate.co.nz/property/38a-tomahawk-road-andersons-bay-dunedin-city-otago/7bgknrdmk
509,26,"Last sold on
      12/02/202522 Durham Street, Mornington31610m2$555,000(last sale price)",https://www.realestate.co.nz/property/22-durham-street-mornington-dunedin-city-otago/82ltqblr
510,26,"Last sold on
      12/02/202511 Eastbank Street, Waverley32995m2$930,000(last sale price)",https://www.realestate.co.nz/property/11-eastbank-street-waverley-dunedin-city-otago/yhvzxn81d
511,26,"Last sold on
      12/02/20257 Geelong Street, Waikouaiti211012m2$740,000(last sale price)",https://www.realestate.co.nz/property/7-geelong-street-waikouaiti-dunedin-city-otago/c0qkhj4q
512,26,"Last sold on
      12/02/202524 Cooper Street, Mornington31480m2$370,750(last sale price)",https://www.realestate.co.nz/property/24-cooper-street-mornington-dunedin-city-otago/17qjm0lr
513,26,"Last sold on
      12/02/202519B Friendship Drive, Waldronville32891m2$680,000(last sale price)",https://www.realestate.co.nz/property/19b-friendship-drive-waldronville-dunedin-city-otago/22hbk5gkk
514,26,"Last sold on
      12/02/202525 Prospect Bank, Wakari31721m2$495,000(last sale price)",https://www.realestate.co.nz/property/25-prospect-bank-wakari-dunedin-city-otago/8s486ydr
515,26,"Last sold on
      12/02/202528 Killarney Street, Waitati211012m2$430,000(last sale price)",https://www.realestate.co.nz/property/28-killarney-street-waitati-dunedin-city-otago/xsk7s81q
516,26,"Last sold on
      12/02/2025385 South Road, Caversham42440m2$545,000(last sale price)",https://www.realestate.co.nz/property/385-south-road-caversham-dunedin-city-otago/myyn25xr
517,26,"Last sold on
      12/02/20255 Fairfax Street, Maori Hill53707m2$1,625,000(last sale price)",https://www.realestate.co.nz/property/5-fairfax-street-maori-hill-dunedin-city-otago/5rnvb4fr
518,26,"Last sold on
      12/02/202515 Hanlon Street, Halfway Bush31749m2$495,000(last sale price)",https://www.realestate.co.nz/property/15-hanlon-street-halfway-bush-dunedin-city-otago/b46l98br
