,product,url,title,subtitle,description,pricing_method,capital_value,updated_date,sold_price,sold_date,confidence_band_1,estimated_value_1,confidence_band_2,estimated_value_2,confidence_band_3,estimated_value_3,confidence_band_4,estimated_value_4,valuation_date,land_value,improvement_value,bedroom,bathroom,floor_area,land_area,title_type,garage
291,"Last sold on
      12/03/202510 Beach Street, Waikouaiti211012m2$340,000(last sale price)",https://www.realestate.co.nz/property/10-beach-street-waikouaiti-dunedin-city-otago/tk3flj4q,,,,,"$320,000",Low,"$340,000",12/03/2025,Low,$300K,Med,$328K,High,$358K,Updated 01/07/22,$320K,1 Jul 2022,"$250,000","$70,000",2,1,71m2,1012m2,,
292,"Last sold on
      12/03/20256 Council Street, Saint Kilda23400m2$885,000(last sale price)",https://www.realestate.co.nz/property/6-council-street-saint-kilda-dunedin-city-otago/9dyv5w4r,,,,,"$650,000",Low,"$885,000",12/03/2025,Low,$528K,Med,$579K,High,$627K,Updated 01/07/22,$650K,1 Jul 2022,"$300,000","$350,000",2,3,90m2,400m2,,2
293,"Last sold on
      12/03/2025815 Mount Cargill Road, Mount Cargill423.46ha$1,310,000(last sale price)",https://www.realestate.co.nz/property/815-mount-cargill-road-mount-cargill-dunedin-city-otago/t2j6131q,,,,,"$1,390,000",Low,"$1,310,000",12/03/2025,Low,$1.26M,Med,$1.27M,High,$1.32M,Updated 01/07/22,$1.39M,1 Jul 2022,"$550,000","$840,000",4,2,277m2,3.46ha,,2
294,"Last sold on
      11/03/202594 Skibo Street, Kew211283m2$480,000(last sale price)",https://www.realestate.co.nz/property/94-skibo-street-kew-dunedin-city-otago/54qxp2zr,"94 Skibo Street, Kew, Dunedin City","94 Skibo Street, Kew","**Tidy two-bedroom home with great parking and storage**Located in a quiet residential area, this well-maintained two-bedroom home offers practical living with new carpet and curtains throughout.The layout includes two bedrooms off the hallway (master with built-in wardrobes), a separate kitchen and dining area, and a lounge with two entrances. The single garage includes internal access and additional storage.Features:- 2 bedrooms, 1 bathroom- Heat pump & Moisture Master system- New carpet and curtains- Separate kitchen and meals area- Single garage + 3 off-street parks- DishwasherViewings: https://bookme.tenant.co.nz/tps7542Applications: https://apply.tpsportal.co.nz/tps7542",dollar$500 per week,,,,,,,,,,,,,,,,2,1,,,,
295,"Last sold on
      11/03/202522 Russell Street, Dunedin Central52195m2$653,000(last sale price)",https://www.realestate.co.nz/property/22-russell-street-dunedin-central-dunedin-city-otago/1vng81pr,,,,,"$580,000",Low,"$653,000",11/03/2025,Low,$517K,Med,$557K,High,$583K,Updated 01/07/22,$580K,1 Jul 2022,"$215,000","$365,000",5,2,180m2,195m2,,
296,"Recently sold244 Taieri Road, Wakari31449m2Price is not yet confirmed",https://www.realestate.co.nz/property/244-taieri-road-wakari-dunedin-city-otago/30myynfr,,,,,"$560,000",Low,,,Low,$520K,Med,$549K,High,$577K,Updated 01/07/22,$560K,1 Jul 2022,"$265,000","$295,000",3,1,121m2,449m2,,2
297,"Last sold on
      11/03/20253 Gebbie Street, Mosgiel41807m2$615,000(last sale price)",https://www.realestate.co.nz/property/3-gebbie-street-mosgiel-dunedin-city-otago/j7xmb1ks,,,,,"$660,000",Low,"$615,000",11/03/2025,Low,$601K,Med,$639K,High,$684K,Updated 01/07/22,$660K,1 Jul 2022,"$430,000","$230,000",4,1,154m2,807m2,,
298,"Last sold on
      11/03/2025247 Highcliff Road, Shiel Hill41625m2$610,000(last sale price)",https://www.realestate.co.nz/property/247-highcliff-road-shiel-hill-dunedin-city-otago/x4rs60tr,,,,,"$620,000",Low,"$610,000",11/03/2025,Low,$571K,Med,$604K,High,$633K,Updated 01/07/22,$620K,1 Jul 2022,"$350,000","$270,000",4,1,173m2,625m2,,1
299,"Last sold on
      11/03/20253 Dalgety Street, Saint Kilda21417m2$525,000(last sale price)",https://www.realestate.co.nz/property/3-dalgety-street-saint-kilda-dunedin-city-otago/v6rjhn4r,,,,,"$530,000",Low,"$525,000",11/03/2025,Low,$476K,Med,$519K,High,$555K,Updated 01/07/22,$530K,1 Jul 2022,"$430,000","$100,000",2,1,95m2,417m2,,1
300,"Last sold on
      11/03/202544C Forfar Street, Mosgiel21$420,000(last sale price)",https://www.realestate.co.nz/property/44c-forfar-street-mosgiel-dunedin-city-otago/7rd4ywjs,,,,,"$475,000",Low,"$420,000",11/03/2025,Low,$421K,Med,$450K,High,$482K,Updated 01/07/22,$475K,1 Jul 2022,"$235,000","$240,000",2,1,60m2,,,1
301,"Last sold on
      11/03/2025144 Surrey Street, Forbury31446m2$540,000(last sale price)",https://www.realestate.co.nz/property/144-surrey-street-forbury-dunedin-city-otago/1jbfth1r,,,,,"$600,000",Low,"$540,000",11/03/2025,Low,$521K,Med,$550K,High,$580K,Updated 01/07/22,$600K,1 Jul 2022,"$250,000","$350,000",3,1,106m2,446m2,,2
302,"Last sold on
      11/03/20251 Kirkland Street, Green Island311012m2$515,000(last sale price)",https://www.realestate.co.nz/property/1-kirkland-street-green-island-dunedin-city-otago/02r1xdbs,,,,,"$545,000",Low,"$515,000",11/03/2025,Low,$488K,Med,$516K,High,$545K,Updated 01/07/22,$545K,1 Jul 2022,"$315,000","$230,000",3,1,134m2,1012m2,,
303,"Last sold on
      11/03/202525 Gebbie Street, Mosgiel41012m2$730,000(last sale price)",https://www.realestate.co.nz/property/25-gebbie-street-mosgiel-dunedin-city-otago/y5hyg3ks,,,,,"$740,000",Low,"$730,000",11/03/2025,Low,$672K,Med,$704K,High,$742K,Updated 01/07/22,$740K,1 Jul 2022,"$450,000","$290,000",4,,151m2,1012m2,,
304,"Last sold on
      11/03/202546 Newport Street, Belleknowes32452m2$760,000(last sale price)",https://www.realestate.co.nz/property/46-newport-street-belleknowes-dunedin-city-otago/gxv97pkr,,,,,"$800,000",Low,"$760,000",11/03/2025,Low,$676K,Med,$740K,High,$778K,Updated 01/07/22,$800K,1 Jul 2022,"$345,000","$455,000",3,2,108m2,452m2,,
305,"Last sold on
      11/03/202519 Picardy Street, Maryhill31543m2$560,000(last sale price)",https://www.realestate.co.nz/property/19-picardy-street-maryhill-dunedin-city-otago/sqg0bhmr,,,,,"$520,000",Low,"$560,000",11/03/2025,Low,$496K,Med,$525K,High,$545K,Updated 01/07/22,$520K,1 Jul 2022,"$335,000","$185,000",3,1,111m2,543m2,,
306,"Last sold on
      11/03/2025115 Riselaw Road, Calton Hill31584m2$530,000(last sale price)",https://www.realestate.co.nz/property/115-riselaw-road-calton-hill-dunedin-city-otago/9hf1bczr,,,,,"$610,000",Low,"$530,000",11/03/2025,Low,$523K,Med,$557K,High,$597K,Updated 01/07/22,$610K,1 Jul 2022,"$230,000","$380,000",3,1,118m2,584m2,,
