,product,url,title,subtitle,description,pricing_method,capital_value,updated_date,sold_price,sold_date,confidence_band_1,estimated_value_1,confidence_band_2,estimated_value_2,confidence_band_3,estimated_value_3,confidence_band_4,estimated_value_4,valuation_date,land_value,improvement_value,bedroom,bathroom,floor_area,land_area,title_type,garage
335,"Last sold on
      07/03/20258 Christie Street, Abbotsford51722m2$655,000(last sale price)",https://www.realestate.co.nz/property/8-christie-street-abbotsford-dunedin-city-otago/lwgck18r,,,,,"$585,000",Low,"$655,000",7/03/2025,Low,$539K,Med,$571K,High,$611K,Updated 01/07/22,$585K,1 Jul 2022,"$300,000","$285,000",5,1,150m2,722m2,,1
336,"Last sold on
      07/03/202514 Maple Grove, Mosgiel31626m2$705,000(last sale price)",https://www.realestate.co.nz/property/14-maple-grove-mosgiel-dunedin-city-otago/pjrcdtms,,,,,"$700,000",Low,"$705,000",7/03/2025,Low,$657K,Med,$692K,High,$718K,Updated 01/07/22,$700K,1 Jul 2022,"$385,000","$315,000",3,1,140m2,626m2,,2
337,"Last sold on
      06/03/202535 Brownville Crescent, Maori Hill31430m2$595,000(last sale price)",https://www.realestate.co.nz/property/35-brownville-crescent-maori-hill-dunedin-city-otago/nzptb8cr,"35 Brownville Crescent, MAORI HILL, Dunedin City",Three Bedroom - Maori Hill,Cute and cosy  character cottageThree double bedrooms each with wardrobesCentral heating via a pellet burner in the basement areaFire in the loungeRecently decorated with new paintLight filled living room with sunny deckKitchen with dishwasherSeparate laundry with extractor fan installedBathroom with shower over a shub4 weeks bond,dollar$600 per week,,,,,,,,,,,,,,,,3,1,,,,
338,"Last sold on
      06/03/2025135 Oakwood Avenue, Balaclava21299m2$487,045(last sale price)",https://www.realestate.co.nz/property/135-oakwood-avenue-balaclava-dunedin-city-otago/ss2nkrmr,,,,,"$470,000",Low,"$487,045",6/03/2025,Low,$403K,Med,$430K,High,$454K,Updated 01/07/22,$470K,1 Jul 2022,"$235,000","$235,000",2,1,70m2,299m2,,1
339,"Last sold on
      06/03/20251 Glenimrie Close, Mosgiel42699m2$1,160,000(last sale price)",https://www.realestate.co.nz/property/1-glenimrie-close-mosgiel-dunedin-city-otago/0vsty5dqz,,,,,"$1,130,000",Low,"$1,160,000",6/03/2025,Low,$1.14M,Med,$1.18M,High,$1.24M,Updated 01/07/22,$1.13M,1 Jul 2022,"$425,000","$705,000",4,2,235m2,699m2,,2
340,"Last sold on
      06/03/2025189 Taieri Road, Kaikorai32680m2$630,000(last sale price)",https://www.realestate.co.nz/property/189-taieri-road-kaikorai-dunedin-city-otago/w0jgshhr,,,,,"$680,000",Low,"$630,000",6/03/2025,Low,$626K,Med,$662K,High,$699K,Updated 01/07/22,$680K,1 Jul 2022,"$330,000","$350,000",3,2,173m2,680m2,,1
341,"Last sold on
      06/03/2025118 Mulford Street, Concord31587m2$560,000(last sale price)",https://www.realestate.co.nz/property/118-mulford-street-concord-dunedin-city-otago/w0jgsh8r,,,,,"$625,000",Low,"$560,000",6/03/2025,Low,$545K,Med,$578K,High,$604K,Updated 01/07/22,$625K,1 Jul 2022,"$285,000","$340,000",3,1,122m2,587m2,,
342,"Last sold on
      06/03/202522 Clearwater Street, Broad Bay53843m2$1,510,000(last sale price)",https://www.realestate.co.nz/property/22-clearwater-street-broad-bay-dunedin-city-otago/mp78tw7r,,,,,"$1,480,000",Low,"$1,510,000",6/03/2025,Low,$1.26M,Med,$1.43M,High,$1.54M,Updated 01/07/22,$1.48M,1 Jul 2022,"$355,000","$1,125,000",5,3,275m2,843m2,,3
343,"Last sold on
      06/03/202515B Ethel Benjamin Place, North Dunedin32$802,000(last sale price)",https://www.realestate.co.nz/property/15b-ethel-benjamin-place-north-dunedin-dunedin-city-otago/x9zz8v0v,,,,,"$890,000",Low,"$802,000",6/03/2025,Low,$777K,Med,$785K,High,$792K,Updated 01/07/22,$890K,1 Jul 2022,"$370,000","$520,000",3,2,104m2,,,
344,"Last sold on
      06/03/202513 Athol Place, Ravensbourne31755m2$490,000(last sale price)",https://www.realestate.co.nz/property/13-athol-place-ravensbourne-dunedin-city-otago/8jfxzn6q,,,,,"$490,000",Low,"$490,000",6/03/2025,Low,$436K,Med,$461K,High,$489K,Updated 01/07/22,$490K,1 Jul 2022,"$240,000","$250,000",3,1,85m2,755m2,,1
345,"Last sold on
      06/03/202512 Rockside Road, Glenleith31712m2$480,000(last sale price)",https://www.realestate.co.nz/property/12-rockside-road-glenleith-dunedin-city-otago/tfrrgwbr,,,,,"$540,000",Low,"$480,000",6/03/2025,Low,$468K,Med,$502K,High,$531K,Updated 01/07/22,$540K,1 Jul 2022,"$200,000","$340,000",3,1,90m2,712m2,,1
346,"Last sold on
      06/03/20254A Wairoa Street, Kaikorai4482m2$605,000(last sale price)",https://www.realestate.co.nz/property/4a-wairoa-street-kaikorai-dunedin-city-otago/t2j613sz,,,,,"$580,000",Low,"$605,000",6/03/2025,Low,$530K,Med,$566K,High,$595K,Updated 01/07/22,$580K,1 Jul 2022,"$370,000","$210,000",4,,150m2,482m2,,
347,"Last sold on
      05/03/2025281 Highcliff Road, Shiel Hill31809m2$565,000(last sale price)",https://www.realestate.co.nz/property/281-highcliff-road-shiel-hill-dunedin-city-otago/4bvmq3tr,,,,,"$610,000",Low,"$565,000",5/03/2025,Low,$564K,Med,$595K,High,$625K,Updated 01/07/22,$610K,1 Jul 2022,"$370,000","$240,000",3,1,102m2,809m2,,1
348,"Recently sold18 Panmure Avenue, Calton Hill311099m2Price is not yet confirmed",https://www.realestate.co.nz/property/18-panmure-avenue-calton-hill-dunedin-city-otago/2zwsplzr,,,,,"$445,000",Low,,,Low,$392K,Med,$422K,High,$455K,Updated 01/07/22,$445K,1 Jul 2022,"$255,000","$190,000",3,1,100m2,1099m2,,
349,"Last sold on
      05/03/202542A Saint Leonards Drive, Saint Leonards331367m2$1,200,000(last sale price)",https://www.realestate.co.nz/property/42a-saint-leonards-drive-saint-leonards-dunedin-city-otago/l7nxyslmk,,,,,"$990,000",Low,"$1,200,000",5/03/2025,Low,$976K,Med,$1.06M,High,$1.17M,Updated 01/07/22,$990K,1 Jul 2022,"$440,000","$550,000",3,3,341m2,1367m2,,4
350,"Last sold on
      05/03/202524 Bennett Road, Ocean View31984m2$497,000(last sale price)",https://www.realestate.co.nz/property/24-bennett-road-ocean-view-dunedin-city-otago/vj3ky6fs,,,,,"$560,000",Low,"$497,000",5/03/2025,Low,$482K,Med,$515K,High,$548K,Updated 01/07/22,$560K,1 Jul 2022,"$315,000","$245,000",3,1,93m2,984m2,,1
351,"Last sold on
      05/03/202537 Pennant Street, Wakari21573m2$567,000(last sale price)",https://www.realestate.co.nz/property/37-pennant-street-wakari-dunedin-city-otago/xfcpdjfr,,,,,"$550,000",Low,"$567,000",5/03/2025,Low,$485K,Med,$523K,High,$545K,Updated 01/07/22,$550K,1 Jul 2022,"$250,000","$300,000",2,1,110m2,573m2,,2
352,"Last sold on
      05/03/202530A Forrester Avenue, Liberton21376m2$350,000(last sale price)",https://www.realestate.co.nz/property/30a-forrester-avenue-liberton-dunedin-city-otago/dkxg754v,,,,,"$360,000",Low,"$350,000",5/03/2025,Low,$325K,Med,$356K,High,$382K,Updated 01/07/22,$360K,1 Jul 2022,"$230,000","$130,000",2,1,70m2,376m2,,
353,"Last sold on
      05/03/202517 Adderley Terrace, Ravensbourne21769m2$480,000(last sale price)",https://www.realestate.co.nz/property/17-adderley-terrace-ravensbourne-dunedin-city-otago/5p153v6q,,,,,"$420,000",Low,"$480,000",5/03/2025,Low,$336K,Med,$373K,High,$402K,Updated 01/07/22,$420K,1 Jul 2022,"$240,000","$180,000",2,1,73m2,769m2,,
354,"Last sold on
      05/03/202519 Koremata Street, Green Island41711m2$640,000(last sale price)",https://www.realestate.co.nz/property/19-koremata-street-green-island-dunedin-city-otago/x243zr9r,,,,,"$625,000",Low,"$640,000",5/03/2025,Low,$571K,Med,$603K,High,$629K,Updated 01/07/22,$625K,1 Jul 2022,"$295,000","$330,000",4,1,180m2,711m2,,1
355,"Last sold on
      05/03/202538 Eastbourne Street, Caversham21209m2$407,000(last sale price)",https://www.realestate.co.nz/property/38-eastbourne-street-caversham-dunedin-city-otago/jnw6m50r,,,,,"$440,000",Low,"$407,000",5/03/2025,Low,$381K,Med,$400K,High,$422K,Updated 01/07/22,$440K,1 Jul 2022,"$195,000","$245,000",2,1,74m2,209m2,,1
356,"Last sold on
      04/03/202543 Melrose Street, Roslyn31832m2$800,000(last sale price)",https://www.realestate.co.nz/property/43-melrose-street-roslyn-dunedin-city-otago/tmvghxfr,,,,,"$770,000",Low,"$800,000",4/03/2025,Low,$671K,Med,$714K,High,$771K,Updated 01/07/22,$770K,1 Jul 2022,"$500,000","$270,000",3,1,141m2,832m2,,1
357,"Last sold on
      04/03/202514 Irwin Logan Drive, Mosgiel421070m2$1,149,000(last sale price)",https://www.realestate.co.nz/property/14-irwin-logan-drive-mosgiel-dunedin-city-otago/zm29b6cs,,,,,"$1,090,000",Low,"$1,149,000",4/03/2025,Low,$1.08M,Med,$1.14M,High,$1.18M,Updated 01/07/22,$1.09M,1 Jul 2022,"$410,000","$680,000",4,2,249m2,1070m2,,2
358,"Last sold on
      04/03/202565 Law Street, Caversham41608m2$500,000(last sale price)",https://www.realestate.co.nz/property/65-law-street-caversham-dunedin-city-otago/xysfw30r,,,,,"$520,000",Low,"$500,000",4/03/2025,Low,$438K,Med,$476K,High,$524K,Updated 01/07/22,$520K,1 Jul 2022,"$405,000","$115,000",4,1,164m2,608m2,,1
359,"Last sold on
      04/03/20259 Dalry Street, Mornington32546m2$460,000(last sale price)",https://www.realestate.co.nz/property/9-dalry-street-mornington-dunedin-city-otago/3dq09llr,,,,,"$545,000",Low,"$460,000",4/03/2025,Low,$486K,Med,$529K,High,$565K,Updated 01/07/22,$545K,1 Jul 2022,"$200,000","$345,000",3,2,110m2,546m2,,1
360,"Last sold on
      04/03/202516 Kinmont Crescent, Mosgiel31640m2$617,508(last sale price)",https://www.realestate.co.nz/property/16-kinmont-crescent-mosgiel-dunedin-city-otago/ych9s0ks,,,,,"$700,000",Low,"$617,508",4/03/2025,Low,$634K,Med,$665K,High,$697K,Updated 01/07/22,$700K,1 Jul 2022,"$360,000","$340,000",3,1,197m2,640m2,,2
361,"Last sold on
      03/03/202511 Carnarvon Street, Belleknowes41572m2$610,000(last sale price)",https://www.realestate.co.nz/property/11-carnarvon-street-belleknowes-dunedin-city-otago/yhvzxnkr,,,,,"$620,000",Low,"$610,000",3/03/2025,Low,$559K,Med,$587K,High,$622K,Updated 01/07/22,$620K,1 Jul 2022,"$325,000","$295,000",4,1,110m2,572m2,,1
362,"Last sold on
      03/03/202549 Kauri Street, Ravensbourne311012m2$300,000(last sale price)",https://www.realestate.co.nz/property/49-kauri-street-ravensbourne-dunedin-city-otago/jybr4j6q,,,,,"$510,000",Low,"$300,000",3/03/2025,Low,$365K,Med,$426K,High,$483K,Updated 01/07/22,$510K,1 Jul 2022,"$355,000","$155,000",3,1,100m2,1012m2,,
363,"Last sold on
      03/03/2025115 Lynn Street, Wakari31479m2$618,000(last sale price)",https://www.realestate.co.nz/property/115-lynn-street-wakari-dunedin-city-otago/tnlmrzdr,,,,,"$540,000",Low,"$618,000",3/03/2025,Low,$493K,Med,$522K,High,$552K,Updated 01/07/22,$540K,1 Jul 2022,"$245,000","$295,000",3,1,114m2,479m2,,1
364,"Last sold on
      03/03/2025192C Gordon Road, Mosgiel21$370,000(last sale price)",https://www.realestate.co.nz/property/192c-gordon-road-mosgiel-dunedin-city-otago/7d6kk4js,,,,,"$330,000",Low,"$370,000",3/03/2025,Low,$306K,Med,$331K,High,$356K,Updated 01/07/22,$330K,1 Jul 2022,"$180,000","$150,000",2,1,70m2,,,1
365,"Last sold on
      03/03/2025198B Gordon Road, Mosgiel21$320,000(last sale price)",https://www.realestate.co.nz/property/198b-gordon-road-mosgiel-dunedin-city-otago/4jybr4js,,,,,"$370,000",Low,"$320,000",3/03/2025,Low,$326K,Med,$354K,High,$380K,Updated 01/07/22,$370K,1 Jul 2022,"$165,000","$205,000",2,1,60m2,,,1
366,"Last sold on
      03/03/202552 Sutherland Street, Dunedin Central52483m2$600,000(last sale price)",https://www.realestate.co.nz/property/52-sutherland-street-dunedin-central-dunedin-city-otago/0vx5m9pr,,,,,"$600,000",Low,"$600,000",3/03/2025,Low,$509K,Med,$550K,High,$613K,Updated 01/07/22,$600K,1 Jul 2022,"$540,000","$60,000",5,2,155m2,483m2,,
367,"Last sold on
      03/03/2025146 Surrey Street, Forbury31446m2$600,000(last sale price)",https://www.realestate.co.nz/property/146-surrey-street-forbury-dunedin-city-otago/613cvh1r,,,,,"$570,000",Low,"$600,000",3/03/2025,Low,$494K,Med,$522K,High,$551K,Updated 01/07/22,$570K,1 Jul 2022,"$250,000","$320,000",3,1,98m2,446m2,,1
368,"Last sold on
      03/03/202587 Somerville Street, Andersons Bay312666m2$490,000(last sale price)",https://www.realestate.co.nz/property/87-somerville-street-andersons-bay-dunedin-city-otago/wvfmdssr,,,,,"$475,000",Low,"$490,000",3/03/2025,Low,$445K,Med,$470K,High,$506K,Updated 01/07/22,$475K,1 Jul 2022,"$200,000","$275,000",3,1,140m2,2666m2,,1
369,"Last sold on
      03/03/202580 Koremata Street, Green Island31622m2$405,000(last sale price)",https://www.realestate.co.nz/property/80-koremata-street-green-island-dunedin-city-otago/w87t0s9r,,,,,"$505,000",Low,"$405,000",3/03/2025,Low,$442K,Med,$476K,High,$510K,Updated 01/07/22,$505K,1 Jul 2022,"$235,000","$270,000",3,1,74m2,622m2,,
370,"Last sold on
      03/03/20254 Franklin Street, Dalmore21400m2$505,000(last sale price)",https://www.realestate.co.nz/property/4-franklin-street-dalmore-dunedin-city-otago/w7hprq9q,,,,,"$660,000",Low,"$505,000",3/03/2025,Low,$539K,Med,$584K,High,$623K,Updated 01/07/22,$660K,1 Jul 2022,"$270,000","$390,000",2,1,170m2,400m2,,1
371,"Last sold on
      03/03/20252D Belford Street, Waverley321851m2$785,000(last sale price)",https://www.realestate.co.nz/property/2d-belford-street-waverley-dunedin-city-otago/t6ww5rsr,,,,,"$800,000",Low,"$785,000",3/03/2025,Low,$768K,Med,$797K,High,$830K,Updated 01/07/22,$800K,1 Jul 2022,"$360,000","$440,000",3,2,166m2,1851m2,,2
372,"Last sold on
      03/03/20253 Blackman Avenue, Sawyers Bay21401m2$356,238(last sale price)",https://www.realestate.co.nz/property/3-blackman-avenue-sawyers-bay-dunedin-city-otago/mvghxq5q,,,,,"$415,000",Low,"$356,238",3/03/2025,Low,$345K,Med,$378K,High,$403K,Updated 01/07/22,$415K,1 Jul 2022,"$220,000","$195,000",2,1,60m2,401m2,,1
373,"Last sold on
      02/03/202513 Rennie Street, Green Island31713m2$495,000(last sale price)",https://www.realestate.co.nz/property/13-rennie-street-green-island-dunedin-city-otago/hf5p159r,,,,,"$520,000",Low,"$495,000",2/03/2025,Low,$475K,Med,$496K,High,$523K,Updated 01/07/22,$520K,1 Jul 2022,"$285,000","$235,000",3,1,102m2,713m2,,1
374,"Last sold on
      01/03/202574 Hocken Street, Kenmure331303m2$766,000(last sale price)",https://www.realestate.co.nz/property/74-hocken-street-kenmure-dunedin-city-otago/44v8c6mr,,,,,"$720,000",Low,"$766,000",1/03/2025,Low,$636K,Med,$689K,High,$722K,Updated 01/07/22,$720K,1 Jul 2022,"$215,000","$505,000",3,3,170m2,1303m2,,1
375,"Last sold on
      01/03/202528 Arran Street, Mosgiel32344m2$590,000(last sale price)",https://www.realestate.co.nz/property/28-arran-street-mosgiel-dunedin-city-otago/6sd0l6hs,,,,,"$560,000",Low,"$590,000",1/03/2025,Low,$536K,Med,$565K,High,$603K,Updated 01/07/22,$560K,1 Jul 2022,"$260,000","$300,000",3,2,121m2,344m2,,1
376,"Last sold on
      01/03/202510 Mechanic Street, North East Valley31448m2$500,000(last sale price)",https://www.realestate.co.nz/property/10-mechanic-street-north-east-valley-dunedin-city-otago/rvy1478q,,,,,"$490,000",Low,"$500,000",1/03/2025,Low,$455K,Med,$489K,High,$525K,Updated 01/07/22,$490K,1 Jul 2022,"$400,000","$90,000",3,1,110m2,448m2,,
377,"Last sold on
      01/03/202537 Dowling Street, Dunedin Central7211518m2$3,280,000(last sale price)",https://www.realestate.co.nz/property/37-dowling-street-dunedin-central-dunedin-city-otago/fw34zmpr,,,,,"$4,030,000",Low,"$3,280,000",1/03/2025,Low,$2.6M,Med,$3.32M,High,$4.33M,Updated 01/07/22,$4.03M,1 Jul 2022,"$940,000","$3,090,000",7,21,630m2,1518m2,,
378,"Last sold on
      01/03/20258 Hawthorn Avenue, Mornington21457m2$440,000(last sale price)",https://www.realestate.co.nz/property/8-hawthorn-avenue-mornington-dunedin-city-otago/6rjhn0kr,,,,,"$485,000",Low,"$440,000",1/03/2025,Low,$415K,Med,$441K,High,$466K,Updated 01/07/22,$485K,1 Jul 2022,"$225,000","$260,000",2,1,98m2,457m2,,
379,"Last sold on
      28/02/202516 Benhar Street, Maryhill31592m2$742,500(last sale price)",https://www.realestate.co.nz/property/16-benhar-street-maryhill-dunedin-city-otago/x83gbpmr,,,,,"$720,000",Low,"$742,500",28/02/2025,Low,$633K,Med,$677K,High,$713K,Updated 01/07/22,$720K,1 Jul 2022,"$345,000","$375,000",3,1,140m2,592m2,,1
380,"Last sold on
      28/02/202578 Skibo Street, Kew31767m2$585,000(last sale price)",https://www.realestate.co.nz/property/78-skibo-street-kew-dunedin-city-otago/cb2ly2zr,,,,,"$575,000",Low,"$585,000",28/02/2025,Low,$512K,Med,$540K,High,$562K,Updated 01/07/22,$575K,1 Jul 2022,"$300,000","$275,000",3,1,140m2,767m2,,
381,"Last sold on
      28/02/20251/21 Irvine Street, Mosgiel21$571,000(last sale price)",https://www.realestate.co.nz/property/1-21-irvine-street-mosgiel-dunedin-city-otago/gd6LSG8Xk,,,,,"$590,000",Low,"$571,000",28/02/2025,Low,$522K,Med,$542K,High,$578K,Updated 01/07/22,$590K,1 Jul 2022,"$220,000","$370,000",2,1,81m2,,,
382,"Last sold on
      28/02/202540 Hocken Street, Kenmure21191m2$670,000(last sale price)",https://www.realestate.co.nz/property/40-hocken-street-kenmure-dunedin-city-otago/z672q5mr,,,,,"$730,000",Low,"$670,000",28/02/2025,Low,$655K,Med,$692K,High,$727K,Updated 01/07/22,$730K,1 Jul 2022,"$290,000","$440,000",,2,200m2,1191m2,,2
383,"Last sold on
      28/02/20258 Exeter Street, Abbotsford31911m2$640,000(last sale price)",https://www.realestate.co.nz/property/8-exeter-street-abbotsford-dunedin-city-otago/swp6db9r,,,,,"$570,000",Low,"$640,000",28/02/2025,Low,$544K,Med,$581K,High,$613K,Updated 01/07/22,$570K,1 Jul 2022,"$360,000","$210,000",3,1,110m2,911m2,,2
384,"Last sold on
      28/02/202530B Tedder Street, Saint Kilda21$420,000(last sale price)",https://www.realestate.co.nz/property/30b-tedder-street-saint-kilda-dunedin-city-otago/0c7kfs3r,,,,,"$550,000",Low,"$420,000",28/02/2025,Low,$478K,Med,$510K,High,$544K,Updated 01/07/22,$550K,1 Jul 2022,"$250,000","$300,000",2,1,100m2,,,1
385,"Last sold on
      28/02/20251 Mure Street, Mosgiel42463m2$675,000(last sale price)",https://www.realestate.co.nz/property/1-mure-street-mosgiel-dunedin-city-otago/sk7s8mls,,,,,"$600,000",Low,"$675,000",28/02/2025,Low,$589K,Med,$627K,High,$659K,Updated 01/07/22,$600K,1 Jul 2022,"$360,000","$240,000",4,2,177m2,463m2,,1
386,"Last sold on
      28/02/202588 Barr Street, Kenmure31717m2$487,500(last sale price)",https://www.realestate.co.nz/property/88-barr-street-kenmure-dunedin-city-otago/28gpw2mr,,,,,"$535,000",Low,"$487,500",28/02/2025,Low,$491K,Med,$519K,High,$547K,Updated 01/07/22,$535K,1 Jul 2022,"$335,000","$200,000",3,1,93m2,717m2,,
387,"Last sold on
      28/02/202524 Shortland Street, Caversham21506m2$449,000(last sale price)",https://www.realestate.co.nz/property/24-shortland-street-caversham-dunedin-city-otago/c2gldxxr,,,,,"$455,000",Low,"$449,000",28/02/2025,Low,$378K,Med,$407K,High,$426K,Updated 01/07/22,$455K,1 Jul 2022,"$160,000","$295,000",2,1,80m2,506m2,,
388,"Last sold on
      28/02/202529 Lonsdale Street, Belleknowes41655m2$685,000(last sale price)",https://www.realestate.co.nz/property/29-lonsdale-street-belleknowes-dunedin-city-otago/v2dvc0kr,,,,,"$620,000",Low,"$685,000",28/02/2025,Low,$544K,Med,$579K,High,$607K,Updated 01/07/22,$620K,1 Jul 2022,"$310,000","$310,000",4,1,140m2,655m2,,2
389,"Recently sold129A Helensburgh Road, Halfway Bush21Price is not yet confirmed",https://www.realestate.co.nz/property/129a-helensburgh-road-halfway-bush-dunedin-city-otago/bq80z4lw,,,,,"$425,000",Low,,,Low,$377K,Med,$397K,High,$415K,Updated 01/07/22,$425K,1 Jul 2022,"$175,000","$250,000",2,1,83m2,,,
390,"Last sold on
      27/02/2025249 North Road, North East Valley31314m2$425,000(last sale price)",https://www.realestate.co.nz/property/249-north-road-north-east-valley-dunedin-city-otago/87t0s56q,,,,,"$445,000",Low,"$425,000",27/02/2025,Low,$407K,Med,$435K,High,$469K,Updated 01/07/22,$445K,1 Jul 2022,"$280,000","$165,000",3,1,105m2,314m2,,1
391,"Last sold on
      27/02/2025111 Centennial Avenue, Helensburgh31525m2$635,000(last sale price)",https://www.realestate.co.nz/property/111-centennial-avenue-helensburgh-dunedin-city-otago/36qnzpcr,,,,,"$650,000",Low,"$635,000",27/02/2025,Low,$601K,Med,$630K,High,$652K,Updated 01/07/22,$650K,1 Jul 2022,"$335,000","$315,000",3,1,114m2,525m2,,1
392,"Last sold on
      27/02/202513 Treetop Drive, Portobello878m2$85,000(last sale price)",https://www.realestate.co.nz/property/13-treetop-drive-portobello-dunedin-city-otago/wS68mtQXk,,,,,"$240,000",Low,"$85,000",27/02/2025,Low,$218K,Med,$254K,High,$283K,Updated 01/07/22,$240K,1 Jul 2022,"$240,000",$0,,,,878m2,,
393,"Last sold on
      27/02/202549 Nottingham Crescent, Calton Hill31873m2$540,000(last sale price)",https://www.realestate.co.nz/property/49-nottingham-crescent-calton-hill-dunedin-city-otago/bbbbbbzr,,,,,"$580,000",Low,"$540,000",27/02/2025,Low,$507K,Med,$540K,High,$570K,Updated 01/07/22,$580K,1 Jul 2022,"$230,000","$350,000",3,1,200m2,873m2,,1
394,"Last sold on
      27/02/20254 Beverley Place, Waverley31628m2$740,000(last sale price)",https://www.realestate.co.nz/property/4-beverley-place-waverley-dunedin-city-otago/dh5fbttr,,,,,"$675,000",Low,"$740,000",27/02/2025,Low,$612K,Med,$650K,High,$681K,Updated 01/07/22,$675K,1 Jul 2022,"$385,000","$290,000",3,1,240m2,628m2,,2
395,"Last sold on
      27/02/202550 Hall Road, Sawyers Bay411012m2$430,000(last sale price)",https://www.realestate.co.nz/property/50-hall-road-sawyers-bay-dunedin-city-otago/h5fbtw5q,,,,,"$500,000",Low,"$430,000",27/02/2025,Low,$432K,Med,$470K,High,$510K,Updated 01/07/22,$500K,1 Jul 2022,"$325,000","$175,000",4,1,90m2,1012m2,,1
396,"Last sold on
      27/02/202594 Centennial Avenue, Helensburgh31653m2$600,000(last sale price)",https://www.realestate.co.nz/property/94-centennial-avenue-helensburgh-dunedin-city-otago/9lx6htcr,,,,,"$580,000",Low,"$600,000",27/02/2025,Low,$545K,Med,$571K,High,$594K,Updated 01/07/22,$580K,1 Jul 2022,"$265,000","$315,000",3,1,97m2,653m2,,1
397,"Last sold on
      26/02/2025104 Main Road, Fairfield21809m2$540,000(last sale price)",https://www.realestate.co.nz/property/104-main-road-fairfield-dunedin-city-otago/dfks3jds,,,,,"$500,000",Low,"$540,000",26/02/2025,Low,$424K,Med,$460K,High,$485K,Updated 01/07/22,$500K,1 Jul 2022,"$330,000","$170,000",2,1,58m2,809m2,,1
398,"Last sold on
      26/02/20259 Summertime Avenue, Corstorphine31782m2$631,447(last sale price)",https://www.realestate.co.nz/property/9-summertime-avenue-corstorphine-dunedin-city-otago/9s0xjvzr,,,,,"$660,000",Low,"$631,447",26/02/2025,Low,$587K,Med,$615K,High,$648K,Updated 01/07/22,$660K,1 Jul 2022,"$280,000","$380,000",3,1,180m2,782m2,,3
399,"Last sold on
      26/02/202559 Glen Road, Mornington31800m2$460,000(last sale price)",https://www.realestate.co.nz/property/59-glen-road-mornington-dunedin-city-otago/d89k1plr,,,,,"$435,000",Low,"$460,000",26/02/2025,Low,$385K,Med,$408K,High,$428K,Updated 01/07/22,$435K,1 Jul 2022,"$165,000","$270,000",3,1,89m2,800m2,,
400,"Last sold on
      26/02/202587 Main South Road, East Taieri311012m2$500,000(last sale price)",https://www.realestate.co.nz/property/87-main-south-road-east-taieri-dunedin-city-otago/h3p9whms,,,,,"$510,000",Low,"$500,000",26/02/2025,Low,$451K,Med,$486K,High,$526K,Updated 01/07/22,$510K,1 Jul 2022,"$350,000","$160,000",3,1,90m2,1012m2,,1
401,"Last sold on
      26/02/202595 Doon Street, Waverley42524m2$1,800,000(last sale price)",https://www.realestate.co.nz/property/95-doon-street-waverley-dunedin-city-otago/9k1pkmtr,,,,,"$1,200,000",Low,"$1,800,000",26/02/2025,Low,$993K,Med,$1.11M,High,$1.23M,Updated 01/07/22,$1.2M,1 Jul 2022,"$650,000","$550,000",4,2,191m2,524m2,,2
402,"Last sold on
      26/02/20251106A Brighton Road, Brighton22622m2$930,000(last sale price)",https://www.realestate.co.nz/property/1106a-brighton-road-brighton-dunedin-city-otago/2wdmj47pz,,,,,"$890,000",Low,"$930,000",26/02/2025,Low,$805K,Med,$860K,High,$913K,Updated 01/07/22,$890K,1 Jul 2022,"$300,000","$590,000",2,2,158m2,622m2,,1
403,"Last sold on
      26/02/202539 Centennial Avenue, Helensburgh31587m2$550,000(last sale price)",https://www.realestate.co.nz/property/39-centennial-avenue-helensburgh-dunedin-city-otago/ppzkgncr,,,,,"$590,000",Low,"$550,000",26/02/2025,Low,$549K,Med,$578K,High,$602K,Updated 01/07/22,$590K,1 Jul 2022,"$295,000","$295,000",3,1,111m2,587m2,,
404,"Last sold on
      26/02/2025156 Surrey Street, Saint Clair1503m2$470,000(last sale price)",https://www.realestate.co.nz/property/156-surrey-street-saint-clair-dunedin-city-otago/kb9ftc3r,,,,,"$490,000",Low,"$470,000",26/02/2025,Low,$443K,Med,$479K,High,$520K,Updated 01/07/22,$490K,1 Jul 2022,"$370,000","$120,000",,1,130m2,503m2,,1
405,"Last sold on
      26/02/2025504 Queens Drive, Dunedin Central631393m2$985,000(last sale price)",https://www.realestate.co.nz/property/504-queens-drive-dunedin-central-dunedin-city-otago/b5237gpr,,,,,"$1,355,000",Low,"$985,000",26/02/2025,Low,$1.07M,Med,$1.15M,High,$1.25M,Updated 01/07/22,$1.36M,1 Jul 2022,"$795,000","$560,000",6,3,365m2,1393m2,,2
406,"Last sold on
      26/02/2025601 Highcliff Road, Highcliff21.16ha$905,000(last sale price)",https://www.realestate.co.nz/property/601-highcliff-road-highcliff-dunedin-city-otago/fcpdj17r,,,,,"$940,000",Low,"$905,000",26/02/2025,Low,$880K,Med,$891K,High,$900K,Updated 01/07/22,$940K,1 Jul 2022,"$560,000","$380,000",,2,260m2,1.16ha,,1
